location,date,total_vaccinations,population,US_Vaccination_Percentage
United States,2021-04-17 00:00:00.000,205871913,331002647,62.196455184239
United States,2021-04-18 00:00:00.000,209406814,331002647,63.2643925654166
United States,2021-04-19 00:00:00.000,211581309,331002647,63.9213344417756
United States,2021-04-20 00:00:00.000,213388238,331002647,64.4672300762598
United States,2021-04-21 00:00:00.000,215951909,331002647,65.2417468431907
United States,2021-04-22 00:00:00.000,218947643,331002647,66.146795194662
United States,2021-04-23 00:00:00.000,222322230,331002647,67.1662997305275
United States,2021-04-24 00:00:00.000,225640460,331002647,68.1687781185629
United States,2021-04-25 00:00:00.000,228661408,331002647,69.0814439317762
United States,2021-04-26 00:00:00.000,230768454,331002647,69.7180086297014
United States,2021-04-27 00:00:00.000,232407669,331002647,70.2132357872051
United States,2021-04-28 00:00:00.000,234639414,331002647,70.8874735977565
United States,2021-04-29 00:00:00.000,237360493,331002647,71.7095452714008
United States,2021-04-30 00:00:00.000,240159677,331002647,72.5552134330817
